waveform	Ch0		Gen	
t0	2023-10-20  17:21:56.883828		2023-10-20  17:21:56.883828	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  17:21:56.884532	-5.989404E-1	2023-10-20  17:21:56.884532	3.326001E-2
2023-10-20  17:21:56.884540	-5.989404E-1	2023-10-20  17:21:56.884540	1.626531E-2
2023-10-20  17:21:56.884548	-5.989404E-1	2023-10-20  17:21:56.884548	2.476266E-2
2023-10-20  17:21:56.884556	-5.989404E-1	2023-10-20  17:21:56.884556	2.476266E-2
2023-10-20  17:21:56.884564	-5.989404E-1	2023-10-20  17:21:56.884564	2.051398E-2
2023-10-20  17:21:56.884572	-5.989404E-1	2023-10-20  17:21:56.884572	7.767956E-3
2023-10-20  17:21:56.884580	-5.566694E-1	2023-10-20  17:21:56.884580	2.051398E-2
2023-10-20  17:21:56.884588	-5.989404E-1	2023-10-20  17:21:56.884588	-7.293946E-4
2023-10-20  17:21:56.884596	-5.566694E-1	2023-10-20  17:21:56.884596	2.476266E-2
2023-10-20  17:21:56.884604	-5.566694E-1	2023-10-20  17:21:56.884604	1.626531E-2
2023-10-20  17:21:56.884612	-5.989404E-1	2023-10-20  17:21:56.884612	1.201663E-2
2023-10-20  17:21:56.884620	-5.989404E-1	2023-10-20  17:21:56.884620	2.051398E-2
2023-10-20  17:21:56.884628	-5.989404E-1	2023-10-20  17:21:56.884628	1.201663E-2
2023-10-20  17:21:56.884636	-5.989404E-1	2023-10-20  17:21:56.884636	2.476266E-2
2023-10-20  17:21:56.884644	-5.143985E-1	2023-10-20  17:21:56.884644	7.767956E-3
2023-10-20  17:21:56.884652	-5.566694E-1	2023-10-20  17:21:56.884652	2.051398E-2
2023-10-20  17:21:56.884660	-5.566694E-1	2023-10-20  17:21:56.884660	7.767956E-3
2023-10-20  17:21:56.884668	-5.566694E-1	2023-10-20  17:21:56.884668	2.051398E-2
2023-10-20  17:21:56.884676	-5.566694E-1	2023-10-20  17:21:56.884676	-7.293946E-4
2023-10-20  17:21:56.884684	-5.566694E-1	2023-10-20  17:21:56.884684	2.476266E-2
2023-10-20  17:21:56.884692	-5.989404E-1	2023-10-20  17:21:56.884692	7.767956E-3
2023-10-20  17:21:56.884700	-5.566694E-1	2023-10-20  17:21:56.884700	1.626531E-2
2023-10-20  17:21:56.884708	-5.566694E-1	2023-10-20  17:21:56.884708	3.519281E-3
2023-10-20  17:21:56.884716	-5.143985E-1	2023-10-20  17:21:56.884716	-7.293946E-4
2023-10-20  17:21:56.884724	-5.143985E-1	2023-10-20  17:21:56.884724	1.626531E-2
2023-10-20  17:21:56.884732	-5.143985E-1	2023-10-20  17:21:56.884732	2.051398E-2
2023-10-20  17:21:56.884740	-5.143985E-1	2023-10-20  17:21:56.884740	1.201663E-2
2023-10-20  17:21:56.884748	-5.143985E-1	2023-10-20  17:21:56.884748	2.901133E-2
2023-10-20  17:21:56.884756	-5.143985E-1	2023-10-20  17:21:56.884756	-4.978070E-3
2023-10-20  17:21:56.884764	-5.143985E-1	2023-10-20  17:21:56.884764	-7.293946E-4
2023-10-20  17:21:56.884772	-5.143985E-1	2023-10-20  17:21:56.884772	2.051398E-2
2023-10-20  17:21:56.884780	-5.143985E-1	2023-10-20  17:21:56.884780	1.201663E-2
2023-10-20  17:21:56.884788	-5.143985E-1	2023-10-20  17:21:56.884788	-7.293946E-4
2023-10-20  17:21:56.884796	-5.143985E-1	2023-10-20  17:21:56.884796	1.626531E-2
2023-10-20  17:21:56.884804	-4.721275E-1	2023-10-20  17:21:56.884804	-7.293946E-4
2023-10-20  17:21:56.884812	-4.721275E-1	2023-10-20  17:21:56.884812	7.767956E-3
2023-10-20  17:21:56.884820	-4.721275E-1	2023-10-20  17:21:56.884820	1.626531E-2
2023-10-20  17:21:56.884828	-4.721275E-1	2023-10-20  17:21:56.884828	3.519281E-3
2023-10-20  17:21:56.884836	-4.721275E-1	2023-10-20  17:21:56.884836	-4.978070E-3
2023-10-20  17:21:56.884844	-4.721275E-1	2023-10-20  17:21:56.884844	-7.293946E-4
2023-10-20  17:21:56.884852	-4.721275E-1	2023-10-20  17:21:56.884852	-7.293946E-4
2023-10-20  17:21:56.884860	-4.721275E-1	2023-10-20  17:21:56.884860	1.201663E-2
2023-10-20  17:21:56.884868	-4.298565E-1	2023-10-20  17:21:56.884868	1.201663E-2
2023-10-20  17:21:56.884876	-4.298565E-1	2023-10-20  17:21:56.884876	-4.978070E-3
2023-10-20  17:21:56.884884	-4.298565E-1	2023-10-20  17:21:56.884884	7.767956E-3
2023-10-20  17:21:56.884892	-4.298565E-1	2023-10-20  17:21:56.884892	-7.293946E-4
2023-10-20  17:21:56.884900	-4.298565E-1	2023-10-20  17:21:56.884900	1.201663E-2
2023-10-20  17:21:56.884908	-4.298565E-1	2023-10-20  17:21:56.884908	1.626531E-2
2023-10-20  17:21:56.884916	-3.875856E-1	2023-10-20  17:21:56.884916	1.626531E-2
2023-10-20  17:21:56.884924	-3.875856E-1	2023-10-20  17:21:56.884924	1.201663E-2
2023-10-20  17:21:56.884932	-3.875856E-1	2023-10-20  17:21:56.884932	-4.978070E-3
2023-10-20  17:21:56.884940	-3.875856E-1	2023-10-20  17:21:56.884940	-7.293946E-4
2023-10-20  17:21:56.884948	-3.875856E-1	2023-10-20  17:21:56.884948	-4.978070E-3
2023-10-20  17:21:56.884956	-3.453146E-1	2023-10-20  17:21:56.884956	-1.347542E-2
2023-10-20  17:21:56.884964	-3.453146E-1	2023-10-20  17:21:56.884964	7.767956E-3
2023-10-20  17:21:56.884972	-3.453146E-1	2023-10-20  17:21:56.884972	-4.978070E-3
2023-10-20  17:21:56.884980	-3.453146E-1	2023-10-20  17:21:56.884980	1.201663E-2
2023-10-20  17:21:56.884988	-3.453146E-1	2023-10-20  17:21:56.884988	3.519281E-3
2023-10-20  17:21:56.884996	-3.453146E-1	2023-10-20  17:21:56.884996	7.767956E-3
2023-10-20  17:21:56.885004	-3.453146E-1	2023-10-20  17:21:56.885004	-1.772410E-2
2023-10-20  17:21:56.885012	-3.453146E-1	2023-10-20  17:21:56.885012	7.767956E-3
2023-10-20  17:21:56.885020	-3.453146E-1	2023-10-20  17:21:56.885020	7.767956E-3
2023-10-20  17:21:56.885028	-3.453146E-1	2023-10-20  17:21:56.885028	1.201663E-2
2023-10-20  17:21:56.885036	-3.030436E-1	2023-10-20  17:21:56.885036	-7.293946E-4
2023-10-20  17:21:56.885044	-3.453146E-1	2023-10-20  17:21:56.885044	1.201663E-2
2023-10-20  17:21:56.885052	-2.607726E-1	2023-10-20  17:21:56.885052	7.767956E-3
2023-10-20  17:21:56.885060	-2.607726E-1	2023-10-20  17:21:56.885060	-7.293946E-4
2023-10-20  17:21:56.885068	-2.607726E-1	2023-10-20  17:21:56.885068	-4.978070E-3
2023-10-20  17:21:56.885076	-2.607726E-1	2023-10-20  17:21:56.885076	3.519281E-3
2023-10-20  17:21:56.885084	-2.607726E-1	2023-10-20  17:21:56.885084	3.519281E-3
2023-10-20  17:21:56.885092	-2.607726E-1	2023-10-20  17:21:56.885092	1.201663E-2
2023-10-20  17:21:56.885100	-2.607726E-1	2023-10-20  17:21:56.885100	-1.347542E-2
2023-10-20  17:21:56.885108	-2.607726E-1	2023-10-20  17:21:56.885108	7.767956E-3
2023-10-20  17:21:56.885116	-2.185017E-1	2023-10-20  17:21:56.885116	-4.978070E-3
2023-10-20  17:21:56.885124	-2.607726E-1	2023-10-20  17:21:56.885124	-7.293946E-4
2023-10-20  17:21:56.885132	-2.607726E-1	2023-10-20  17:21:56.885132	1.626531E-2
2023-10-20  17:21:56.885140	-2.185017E-1	2023-10-20  17:21:56.885140	3.519281E-3
2023-10-20  17:21:56.885148	-2.185017E-1	2023-10-20  17:21:56.885148	-4.978070E-3
