N1,Date1,Time1,Signal1,N2,Date2,Time2,Signal2
171,2023-10-20,17:21:56.885196,-0.1762307,171,2023-10-20,17:21:56.885196,-0.0007293946
172,2023-10-20,17:21:56.885204,-0.1762307,172,2023-10-20,17:21:56.885204,-0.0007293946
173,2023-10-20,17:21:56.885212,-0.1762307,173,2023-10-20,17:21:56.885212,0.01626531
174,2023-10-20,17:21:56.885220,-0.1762307,174,2023-10-20,17:21:56.885220,-0.00497807
175,2023-10-20,17:21:56.885228,-0.1762307,175,2023-10-20,17:21:56.885228,0.003519281
176,2023-10-20,17:21:56.885236,-0.1339597,176,2023-10-20,17:21:56.885236,-0.00497807
177,2023-10-20,17:21:56.885244,-0.1339597,177,2023-10-20,17:21:56.885244,-0.0177241
178,2023-10-20,17:21:56.885252,-0.1339597,178,2023-10-20,17:21:56.885252,-0.00497807
179,2023-10-20,17:21:56.885260,-0.1339597,179,2023-10-20,17:21:56.885260,0.01201663
180,2023-10-20,17:21:56.885268,-0.1339597,180,2023-10-20,17:21:56.885268,0.007767956
181,2023-10-20,17:21:56.885276,-0.1339597,181,2023-10-20,17:21:56.885276,0.01201663
182,2023-10-20,17:21:56.885284,-0.09168877,182,2023-10-20,17:21:56.885284,-0.00497807
183,2023-10-20,17:21:56.885292,-0.09168877,183,2023-10-20,17:21:56.885292,0.007767956
184,2023-10-20,17:21:56.885300,-0.09168877,184,2023-10-20,17:21:56.885300,0.007767956
185,2023-10-20,17:21:56.885308,-0.09168877,185,2023-10-20,17:21:56.885308,-0.0007293946
186,2023-10-20,17:21:56.885316,-0.09168877,186,2023-10-20,17:21:56.885316,0.01201663
187,2023-10-20,17:21:56.885324,-0.09168877,187,2023-10-20,17:21:56.885324,-0.01347542
188,2023-10-20,17:21:56.885332,-0.0494178,188,2023-10-20,17:21:56.885332,0.007767956
189,2023-10-20,17:21:56.885340,-0.09168877,189,2023-10-20,17:21:56.885340,0.003519281
190,2023-10-20,17:21:56.885348,-0.09168877,190,2023-10-20,17:21:56.885348,0.007767956
191,2023-10-20,17:21:56.885356,-0.0494178,191,2023-10-20,17:21:56.885356,-0.0007293946
192,2023-10-20,17:21:56.885364,-0.007146828,192,2023-10-20,17:21:56.885364,0.003519281
193,2023-10-20,17:21:56.885372,-0.0494178,193,2023-10-20,17:21:56.885372,-0.00497807
194,2023-10-20,17:21:56.885380,-0.0494178,194,2023-10-20,17:21:56.885380,0.01201663
195,2023-10-20,17:21:56.885388,-0.007146828,195,2023-10-20,17:21:56.885388,0.01626531
196,2023-10-20,17:21:56.885396,-0.007146828,196,2023-10-20,17:21:56.885396,-0.0007293946
197,2023-10-20,17:21:56.885404,-0.007146828,197,2023-10-20,17:21:56.885404,0.01201663
198,2023-10-20,17:21:56.885412,-0.007146828,198,2023-10-20,17:21:56.885412,-0.0007293946
199,2023-10-20,17:21:56.885420,-0.007146828,199,2023-10-20,17:21:56.885420,0.01201663
200,2023-10-20,17:21:56.885428,-0.007146828,200,2023-10-20,17:21:56.885428,0.01201663
201,2023-10-20,17:21:56.885436,0.03512414,201,2023-10-20,17:21:56.885436,0.007767956
202,2023-10-20,17:21:56.885444,0.03512414,202,2023-10-20,17:21:56.885444,0.007767956
203,2023-10-20,17:21:56.885452,-0.007146828,203,2023-10-20,17:21:56.885452,-0.00497807
204,2023-10-20,17:21:56.885460,-0.007146828,204,2023-10-20,17:21:56.885460,-0.009226745
205,2023-10-20,17:21:56.885468,0.03512414,205,2023-10-20,17:21:56.885468,-0.00497807
206,2023-10-20,17:21:56.885476,0.03512414,206,2023-10-20,17:21:56.885476,-0.00497807
207,2023-10-20,17:21:56.885484,0.03512414,207,2023-10-20,17:21:56.885484,0.003519281
208,2023-10-20,17:21:56.885492,0.03512414,208,2023-10-20,17:21:56.885492,-0.0007293946
209,2023-10-20,17:21:56.885500,0.03512414,209,2023-10-20,17:21:56.885500,-0.0007293946
210,2023-10-20,17:21:56.885508,0.03512414,210,2023-10-20,17:21:56.885508,0.007767956
211,2023-10-20,17:21:56.885516,0.07739511,211,2023-10-20,17:21:56.885516,0.003519281
212,2023-10-20,17:21:56.885524,0.07739511,212,2023-10-20,17:21:56.885524,0.02476266
213,2023-10-20,17:21:56.885532,0.07739511,213,2023-10-20,17:21:56.885532,0.007767956
214,2023-10-20,17:21:56.885540,0.07739511,214,2023-10-20,17:21:56.885540,-0.0007293946
215,2023-10-20,17:21:56.885548,0.07739511,215,2023-10-20,17:21:56.885548,0.01201663
216,2023-10-20,17:21:56.885556,0.07739511,216,2023-10-20,17:21:56.885556,0.01201663
217,2023-10-20,17:21:56.885564,0.1196661,217,2023-10-20,17:21:56.885564,0.02051398
218,2023-10-20,17:21:56.885572,0.07739511,218,2023-10-20,17:21:56.885572,-0.0007293946
219,2023-10-20,17:21:56.885580,0.1196661,219,2023-10-20,17:21:56.885580,-0.009226745
220,2023-10-20,17:21:56.885588,0.1196661,220,2023-10-20,17:21:56.885588,-0.00497807
221,2023-10-20,17:21:56.885596,0.1196661,221,2023-10-20,17:21:56.885596,0.007767956
222,2023-10-20,17:21:56.885604,0.1196661,222,2023-10-20,17:21:56.885604,-0.0007293946
223,2023-10-20,17:21:56.885612,0.1619371,223,2023-10-20,17:21:56.885612,0.007767956
224,2023-10-20,17:21:56.885620,0.1619371,224,2023-10-20,17:21:56.885620,-0.00497807
225,2023-10-20,17:21:56.885628,0.1619371,225,2023-10-20,17:21:56.885628,-0.009226745
226,2023-10-20,17:21:56.885636,0.1619371,226,2023-10-20,17:21:56.885636,-0.0007293946
227,2023-10-20,17:21:56.885644,0.1619371,227,2023-10-20,17:21:56.885644,-0.009226745
228,2023-10-20,17:21:56.885652,0.1619371,228,2023-10-20,17:21:56.885652,-0.0007293946
229,2023-10-20,17:21:56.885660,0.1619371,229,2023-10-20,17:21:56.885660,0.007767956
230,2023-10-20,17:21:56.885668,0.204208,230,2023-10-20,17:21:56.885668,0.007767956
231,2023-10-20,17:21:56.885676,0.204208,231,2023-10-20,17:21:56.885676,0.007767956
232,2023-10-20,17:21:56.885684,0.204208,232,2023-10-20,17:21:56.885684,-0.00497807
233,2023-10-20,17:21:56.885692,0.1619371,233,2023-10-20,17:21:56.885692,0.01626531
234,2023-10-20,17:21:56.885700,0.204208,234,2023-10-20,17:21:56.885700,0.003519281
235,2023-10-20,17:21:56.885708,0.204208,235,2023-10-20,17:21:56.885708,-0.0007293946
236,2023-10-20,17:21:56.885716,0.204208,236,2023-10-20,17:21:56.885716,0.01626531
237,2023-10-20,17:21:56.885724,0.204208,237,2023-10-20,17:21:56.885724,-0.0007293946
238,2023-10-20,17:21:56.885732,0.246479,238,2023-10-20,17:21:56.885732,0.007767956
239,2023-10-20,17:21:56.885740,0.246479,239,2023-10-20,17:21:56.885740,-0.0007293946
240,2023-10-20,17:21:56.885748,0.246479,240,2023-10-20,17:21:56.885748,-0.0007293946
241,2023-10-20,17:21:56.885756,0.28875,241,2023-10-20,17:21:56.885756,-0.0007293946
242,2023-10-20,17:21:56.885764,0.28875,242,2023-10-20,17:21:56.885764,-0.00497807
243,2023-10-20,17:21:56.885772,0.246479,243,2023-10-20,17:21:56.885772,0.003519281
244,2023-10-20,17:21:56.885780,0.28875,244,2023-10-20,17:21:56.885780,-0.0007293946
245,2023-10-20,17:21:56.885788,0.28875,245,2023-10-20,17:21:56.885788,-0.0007293946
246,2023-10-20,17:21:56.885796,0.28875,246,2023-10-20,17:21:56.885796,-0.0007293946
247,2023-10-20,17:21:56.885804,0.28875,247,2023-10-20,17:21:56.885804,-0.00497807
248,2023-10-20,17:21:56.885812,0.28875,248,2023-10-20,17:21:56.885812,-0.0007293946
249,2023-10-20,17:21:56.885820,0.3310209,249,2023-10-20,17:21:56.885820,0.01201663
250,2023-10-20,17:21:56.885828,0.3310209,250,2023-10-20,17:21:56.885828,-0.0007293946
251,2023-10-20,17:21:56.885836,0.3310209,251,2023-10-20,17:21:56.885836,0.01201663
252,2023-10-20,17:21:56.885844,0.3310209,252,2023-10-20,17:21:56.885844,-0.0007293946
253,2023-10-20,17:21:56.885852,0.3310209,253,2023-10-20,17:21:56.885852,-0.01347542
254,2023-10-20,17:21:56.885860,0.3310209,254,2023-10-20,17:21:56.885860,0.01201663
255,2023-10-20,17:21:56.885868,0.3732919,255,2023-10-20,17:21:56.885868,0.01201663
256,2023-10-20,17:21:56.885876,0.3732919,256,2023-10-20,17:21:56.885876,0.003519281
257,2023-10-20,17:21:56.885884,0.3732919,257,2023-10-20,17:21:56.885884,-0.0007293946
258,2023-10-20,17:21:56.885892,0.3732919,258,2023-10-20,17:21:56.885892,-0.0177241
259,2023-10-20,17:21:56.885900,0.3732919,259,2023-10-20,17:21:56.885900,0.003519281
260,2023-10-20,17:21:56.885908,0.3732919,260,2023-10-20,17:21:56.885908,-0.00497807
261,2023-10-20,17:21:56.885916,0.3732919,261,2023-10-20,17:21:56.885916,-0.009226745
262,2023-10-20,17:21:56.885924,0.3732919,262,2023-10-20,17:21:56.885924,-0.00497807
263,2023-10-20,17:21:56.885932,0.3732919,263,2023-10-20,17:21:56.885932,0.003519281
264,2023-10-20,17:21:56.885940,0.4155629,264,2023-10-20,17:21:56.885940,-0.009226745
265,2023-10-20,17:21:56.885948,0.4155629,265,2023-10-20,17:21:56.885948,0.01626531
266,2023-10-20,17:21:56.885956,0.4155629,266,2023-10-20,17:21:56.885956,-0.01347542
267,2023-10-20,17:21:56.885964,0.4155629,267,2023-10-20,17:21:56.885964,-0.00497807
268,2023-10-20,17:21:56.885972,0.4155629,268,2023-10-20,17:21:56.885972,-0.00497807
269,2023-10-20,17:21:56.885980,0.4155629,269,2023-10-20,17:21:56.885980,0.01201663
270,2023-10-20,17:21:56.885988,0.4155629,270,2023-10-20,17:21:56.885988,0.007767956
271,2023-10-20,17:21:56.885996,0.4155629,271,2023-10-20,17:21:56.885996,0.01201663
272,2023-10-20,17:21:56.886004,0.4578338,272,2023-10-20,17:21:56.886004,0.02051398
273,2023-10-20,17:21:56.886012,0.4578338,273,2023-10-20,17:21:56.886012,-0.0007293946
274,2023-10-20,17:21:56.886020,0.5001048,274,2023-10-20,17:21:56.886020,-0.0007293946
275,2023-10-20,17:21:56.886028,0.5001048,275,2023-10-20,17:21:56.886028,0.01201663
276,2023-10-20,17:21:56.886036,0.5001048,276,2023-10-20,17:21:56.886036,-0.00497807
277,2023-10-20,17:21:56.886044,0.5001048,277,2023-10-20,17:21:56.886044,0.003519281
278,2023-10-20,17:21:56.886052,0.5001048,278,2023-10-20,17:21:56.886052,0.003519281
279,2023-10-20,17:21:56.886060,0.5001048,279,2023-10-20,17:21:56.886060,-0.02197277
280,2023-10-20,17:21:56.886068,0.5001048,280,2023-10-20,17:21:56.886068,-0.00497807
281,2023-10-20,17:21:56.886076,0.5001048,281,2023-10-20,17:21:56.886076,-0.0007293946
282,2023-10-20,17:21:56.886084,0.5001048,282,2023-10-20,17:21:56.886084,-0.00497807
