signal0,signal1
0.5423758,0.00517135
0.5001048,0.004321615
0.5423758,0.004746482
0.5001048,0.004746482
0.5423758,0.005596218
0.5001048,0.004746482
0.5001048,0.003896747
0.5001048,0.003896747
0.5001048,0.003896747
0.5001048,0.004746482
0.5001048,0.00347188
0.5001048,0.004746482
0.5001048,0.003047012
0.4578338,0.003896747
0.5001048,0.003896747
0.5001048,0.004746482
0.5001048,0.002622145
0.4578338,0.00347188
0.4578338,0.003896747
0.5001048,0.00347188
0.5001048,0.004321615
0.4578338,0.003896747
0.4578338,0.004321615
0.4578338,0.003896747
0.4578338,0.003047012
0.4155629,0.00347188
0.4155629,0.003896747
0.4578338,0.003047012
0.4155629,0.002622145
0.4155629,0.002622145
0.4155629,0.003047012
0.4155629,0.003896747
0.4155629,0.002622145
0.4155629,0.002197277
0.4155629,0.004746482
0.4155629,0.003896747
0.4155629,0.00347188
0.3732919,0.00347188
0.4155629,0.00347188
0.3732919,0.002622145
0.3732919,0.002622145
0.3310209,0.00347188
0.3732919,0.002197277
0.3310209,0.00347188
0.3310209,0.002197277
0.3310209,0.002197277
0.3310209,0.002197277
0.3310209,0.002622145
0.3732919,0.003047012
0.3310209,0.00347188
0.3310209,0.002622145
0.3310209,0.00177241
0.3310209,0.002197277
0.3310209,0.002622145
0.3310209,0.002622145
0.3310209,0.00177241
0.3310209,0.002197277
0.3310209,0.002622145
0.3310209,0.001347542
0.28875,0.002197277
0.28875,0.002197277
0.28875,0.002197277
0.28875,0.002197277
0.28875,0.00347188
0.28875,0.001347542
0.28875,0.00177241
0.246479,0.002197277
0.28875,0.00177241
0.28875,0.00177241
0.246479,0.002197277
0.246479,0.001347542
0.246479,0.002197277
0.246479,0.001347542
0.28875,0.000497807
0.246479,0.0009226745
0.246479,0.00177241
0.246479,0.0009226745
0.246479,0.00177241
0.246479,0.002197277
0.246479,0.001347542
0.204208,0.002197277
0.204208,0.001347542
0.204208,0.002622145
0.204208,0.00177241
0.204208,0.0009226745
0.204208,0.000497807
0.204208,0.00177241
0.204208,0.001347542
0.1619371,0.002197277
0.204208,0.001347542
0.1619371,0.001347542
0.204208,7.293946e-05
0.1619371,0.0009226745
0.1619371,0.0009226745
0.1619371,0.00177241
0.1619371,0.00177241
0.1619371,0.00177241
0.1619371,0.0009226745
0.1619371,0.000497807
0.1619371,0.000497807
0.1619371,0.001347542
0.1619371,0.0009226745
0.1619371,7.293946e-05
0.1196661,7.293946e-05
0.1196661,-0.0003519281
0.1196661,0.000497807
0.07739511,0.000497807
0.1196661,-0.0007767956
0.1196661,0.000497807
0.1196661,0.0009226745
0.07739511,7.293946e-05
0.07739511,0.000497807
0.07739511,7.293946e-05
0.07739511,-0.0007767956
0.07739511,0.000497807
0.07739511,0.000497807
0.07739511,0.001347542
0.07739511,-0.0003519281
0.07739511,-0.0007767956
0.07739511,0.000497807
0.07739511,-0.001201663
0.07739511,-0.0007767956
0.07739511,7.293946e-05
0.03512414,0.0009226745
0.07739511,7.293946e-05
0.07739511,-0.0003519281
0.03512414,-0.0003519281
0.03512414,-0.0003519281
0.03512414,0.0009226745
0.03512414,-0.001201663
0.03512414,0.000497807
-0.007146828,7.293946e-05
-0.007146828,-0.0007767956
0.03512414,0.000497807
0.03512414,7.293946e-05
-0.007146828,-0.0003519281
-0.007146828,-0.001201663
-0.007146828,-0.0003519281
-0.007146828,7.293946e-05
-0.007146828,7.293946e-05
-0.007146828,-0.001626531
-0.007146828,-0.0007767956
-0.007146828,-0.0007767956
-0.007146828,-0.0007767956
-0.007146828,-0.0003519281
-0.0494178,7.293946e-05
-0.007146828,-0.001201663
-0.007146828,-0.0007767956
-0.0494178,-0.0003519281
-0.0494178,7.293946e-05
-0.007146828,-0.0007767956
-0.007146828,7.293946e-05
-0.0494178,-0.0007767956
-0.0494178,-0.001201663
-0.0494178,-0.0003519281
-0.0494178,-0.002051398
-0.0494178,-0.001626531
-0.09168877,-0.002476266
-0.0494178,-0.0007767956
-0.09168877,-0.0007767956
-0.09168877,-0.001626531
-0.0494178,-0.0007767956
-0.09168877,-0.001201663
-0.09168877,-0.001201663
-0.09168877,-0.0007767956
-0.09168877,-0.0007767956
-0.09168877,-0.0007767956
-0.09168877,-0.001626531
-0.09168877,-0.001626531
-0.09168877,-0.001626531
-0.09168877,-0.002901133
-0.1339597,-0.002476266
-0.1339597,-0.002051398
-0.1339597,-0.002476266
-0.1339597,-0.001626531
-0.1339597,-0.001626531
-0.1339597,-0.001201663
-0.1339597,-0.002476266
-0.1339597,-0.001626531
-0.1762307,-0.003326001
-0.1762307,-0.001626531
-0.1762307,-0.001626531
-0.1762307,-0.001201663
-0.1762307,-0.002051398
-0.1762307,-0.002901133
-0.1762307,-0.002901133
-0.1762307,-0.002901133
-0.1762307,-0.002901133
-0.1762307,-0.001626531
-0.1762307,-0.002476266
-0.1762307,-0.001626531
-0.1762307,-0.002051398
-0.1762307,-0.001626531
-0.2185017,-0.002476266
-0.2607726,-0.002476266
-0.2185017,-0.001626531
-0.2185017,-0.001201663
-0.2185017,-0.002476266
-0.2185017,-0.002476266
-0.2185017,-0.002901133
-0.2185017,-0.002476266
-0.2607726,-0.003326001
-0.2607726,-0.004600604
-0.2185017,-0.003326001
-0.2607726,-0.002051398
-0.2607726,-0.002051398
-0.3030436,-0.002901133
-0.2607726,-0.004600604
-0.2607726,-0.002901133
-0.2607726,-0.002476266
-0.2607726,-0.001626531
-0.3030436,-0.002901133
-0.3030436,-0.004175736
-0.3030436,-0.003326001
-0.3030436,-0.004175736
-0.3453146,-0.004175736
-0.3030436,-0.003326001
-0.3030436,-0.003326001
-0.3453146,-0.004600604
-0.3453146,-0.002901133
-0.3030436,-0.003750868
-0.3453146,-0.003326001
-0.3453146,-0.005025471
-0.3453146,-0.003750868
-0.3453146,-0.002901133
-0.3453146,-0.004175736
-0.3453146,-0.004175736
-0.3453146,-0.004175736
-0.3453146,-0.004175736
-0.3453146,-0.003326001
-0.3453146,-0.003750868
-0.3453146,-0.003326001
-0.3453146,-0.004175736
-0.3875856,-0.004175736
-0.3875856,-0.004600604
-0.3875856,-0.003750868
-0.3875856,-0.003750868
-0.3875856,-0.003326001
-0.3875856,-0.005025471
-0.4298565,-0.004175736
-0.3875856,-0.003750868
-0.4298565,-0.004175736
-0.4298565,-0.005450339
-0.4298565,-0.002901133
-0.4298565,-0.004175736
-0.4298565,-0.004175736
-0.4298565,-0.004175736
-0.4298565,-0.005025471
-0.4298565,-0.005450339
-0.4298565,-0.004175736
-0.4721275,-0.005025471
-0.4298565,-0.004600604
-0.4298565,-0.006300074
-0.4298565,-0.005025471
-0.4721275,-0.004600604
-0.4298565,-0.004600604
-0.4298565,-0.005025471
-0.4721275,-0.005450339
-0.4721275,-0.005025471
-0.4721275,-0.004600604
-0.4721275,-0.004600604
-0.4721275,-0.005025471
-0.4721275,-0.005450339
-0.5143985,-0.004600604
-0.4721275,-0.005450339
-0.4721275,-0.005025471
-0.5143985,-0.006300074
-0.4721275,-0.005875206
-0.4721275,-0.005450339
-0.5143985,-0.005875206
-0.5143985,-0.005875206
-0.5143985,-0.004600604
-0.5143985,-0.005025471
-0.5143985,-0.005025471
-0.5143985,-0.005875206
-0.5566694,-0.005875206
-0.5143985,-0.006300074
-0.5566694,-0.006300074
-0.5143985,-0.006724941
-0.5566694,-0.006300074
-0.5566694,-0.005875206
-0.5566694,-0.005875206
-0.5566694,-0.005875206
-0.5566694,-0.005875206
-0.5566694,-0.005025471
-0.5566694,-0.005450339
-0.5566694,-0.006724941
-0.5989404,-0.005450339
-0.5989404,-0.005875206
-0.5989404,-0.006724941
-0.5989404,-0.006724941
-0.5989404,-0.006300074
-0.5989404,-0.006300074
-0.5989404,-0.006300074
-0.5989404,-0.006300074
-0.5989404,-0.006724941
-0.6412114,-0.006300074
-0.5989404,-0.006300074
-0.5989404,-0.006724941
-0.5989404,-0.007999544
-0.6412114,-0.006724941
-0.6412114,-0.005450339
-0.5989404,-0.005875206
-0.6412114,-0.005025471
-0.6412114,-0.005450339
-0.6834823,-0.006300074
-0.6834823,-0.005875206
-0.6834823,-0.007574676
-0.6412114,-0.007574676
-0.6834823,-0.007149809
-0.6834823,-0.006724941
-0.6834823,-0.006724941
-0.6834823,-0.006724941
-0.6834823,-0.007149809
-0.6834823,-0.006300074
-0.6834823,-0.006300074
-0.6834823,-0.006724941
-0.6834823,-0.006300074
-0.6834823,-0.007999544
-0.7257533,-0.006724941
-0.6834823,-0.006724941
-0.6834823,-0.008424411
-0.7257533,-0.007999544
-0.6834823,-0.006300074
-0.7257533,-0.007999544
-0.7257533,-0.007999544
-0.7257533,-0.006724941
-0.7680243,-0.006724941
-0.7257533,-0.007999544
-0.7680243,-0.007999544
-0.7257533,-0.007574676
-0.7680243,-0.007574676
-0.7680243,-0.007149809
-0.7680243,-0.007999544
-0.7680243,-0.007149809
-0.7680243,-0.006300074
-0.7680243,-0.008424411
-0.7680243,-0.008424411
-0.7680243,-0.007999544
-0.7680243,-0.007149809
-0.7680243,-0.007149809
-0.8102953,-0.007999544
-0.8102953,-0.007999544
-0.7680243,-0.007999544
-0.7680243,-0.008424411
-0.8102953,-0.007999544
-0.8102953,-0.007574676
-0.7680243,-0.007574676
-0.8102953,-0.008424411
-0.8102953,-0.008424411
-0.8102953,-0.007149809
-0.8525662,-0.007999544
-0.8525662,-0.008424411
-0.8102953,-0.007574676
-0.8525662,-0.007999544
-0.8525662,-0.008424411
-0.8525662,-0.007999544
-0.8525662,-0.007999544
